month,revenue,gross_margin,target,attainment_pct
2023-01,233099879.72874075,49577479.36068097,235073010.13501784,0.9916063081629669
2023-02,202861366.4137789,43618513.35734708,206904752.7650526,0.9804577405920438
2023-03,243457238.9187224,51964060.277316764,245596527.8275915,0.9912894171273834
2023-04,218015731.22093183,46810007.02172738,215705317.3787965,1.010710973054401
2023-05,240430391.82357433,51362746.30586455,243665984.80934715,0.9867211954581824
2023-06,230113055.8564914,49132724.1411467,235408012.62077516,0.9775073214146982
2023-07,238731280.72542462,49594308.60542725,247242133.5896588,0.9655768507548984
2023-08,249043395.52145806,52467999.122687854,253032000.76511544,0.9842367557004779
2023-09,251033195.61839217,53941992.08976413,259522718.23534682,0.9672879404366597
2023-10,266712010.75766194,56755465.42664191,274307516.35967296,0.9723102534600191
2023-11,256365892.63865983,54685972.54544713,266877410.047563,0.9606129368273254
2023-12,252701832.63521758,52825901.08135087,254940086.83828542,0.9912204697549679
2024-01,231216822.83924574,48942403.482045524,237187810.10017172,0.9748259100735226
2024-02,214659733.14354652,45477310.78705054,218304974.437912,0.9833020694844395
2024-03,246840911.85727516,52331385.94540909,250782290.89199662,0.9842836628507438
2024-04,235976084.04746658,49559680.268816926,243795474.29288825,0.9679264339582132
2024-05,233474764.80319136,49983467.70738997,240240845.23796755,0.9718362611150734
2024-06,251101695.9802058,52859738.66946115,260385442.9681884,0.9643461367035145
2024-07,239453874.30558804,50346672.90524487,248735951.68892387,0.9626830085465721
2024-08,253045785.3543435,53650461.22776387,255096135.07921547,0.9919624430051233
2024-09,238663422.2205182,50436117.41326612,246362876.13368395,0.9687475076034273
2024-10,265120471.51850176,55493810.270661995,265402326.56794253,0.9989380083698376
2024-11,263248607.8710576,55454388.1989653,273591247.0625789,0.9621967467798572
2024-12,257406417.983938,55089273.819321126,267166519.48880157,0.963468096513221
2025-01,228571865.63809952,48024279.00078623,234365005.04138288,0.9752815510905289
2025-02,205986574.1576618,43455300.4390644,210921832.53541178,0.976601481608494
2025-03,247416514.13251787,51903892.87409096,253207524.47716522,0.9771293907769728
2025-04,216623805.81345695,46182782.74100601,224949903.38308126,0.96298688088145
2025-05,256776794.65755913,53848886.176322214,264848900.98303568,0.9695218432264002
2025-06,224176595.79798657,47381928.617485926,231664095.02476263,0.9676795006754252
2025-07,223828144.53122705,47119233.27277634,227519775.3691706,0.9837744616618332
2025-08,223862838.92665166,47414621.05887773,233272239.86306408,0.9596634346978623
2025-09,227690009.86264545,47547202.102062285,231144137.36394745,0.9850563914763569
2025-10,272315164.10220665,57101998.31695559,281317737.7925016,0.9679985565043352
2025-11,269670372.4549755,57232009.42137594,280067546.1453785,0.9628761924275011
2025-12,257156835.31275848,54170678.68043978,269192228.40356106,0.9552907111688245
